ts	conn_count_uid_in	ssh_count_uid_in
1614855000000	9889.0	254.0
1614861600000	88.0	5.0
1614862200000	27036.0	1765.0
1614862800000	17327.0	725.0
1614863400000	12436.0	298.0
1614864000000	20467.0	1666.0
1614864600000	24675.0	2518.0
1614865200000	23927.0	2397.0
1614865800000	22374.0	1848.0
1614866400000	12893.0	624.0
1614867000000	10969.0	439.0
1614867600000	10201.0	285.0
1614868200000	9883.0	377.0
1614868800000	9780.0	275.0
1614869400000	10995.0	315.0
1614870000000	21104.0	1631.0
1614870600000	21944.0	2093.0
1614871200000	22857.0	2196.0
1614871800000	19087.0	1848.0
1614872400000	22847.0	2322.0
1614873000000	16480.0	1257.0
1614873600000	10850.0	478.0
1614874200000	15970.0	1278.0
1614874800000	10453.0	254.0
1614875400000	9881.0	299.0
1614876000000	10570.0	240.0
1614876600000	10747.0	193.0
1614877200000	12083.0	233.0
1614877800000	10116.0	218.0
1614878400000	10164.0	258.0
1614879000000	9529.0	220.0
1614879600000	14463.0	191.0
1614880200000	10797.0	265.0
1614880800000	2.0	
1614881400000	7174.0	320.0
1614882000000	9738.0	312.0
1614882600000	9934.0	248.0
1614883200000	10858.0	332.0
1614883800000	14620.0	331.0
1614884400000	15238.0	232.0
1614885000000	10905.0	288.0
1614885600000	9027.0	424.0
1614886200000	10451.0	276.0
1614886800000	10448.0	411.0
1614887400000	14144.0	362.0
1614888000000	19036.0	3935.0
1614888600000	12249.0	957.0
1614889200000	10788.0	372.0
1614889800000	10735.0	426.0
1614890400000	10790.0	298.0
1614891000000	9956.0	331.0
1614891600000	9936.0	292.0
1614892200000	11081.0	475.0
1614892800000	20318.0	1937.0
1614893400000	21041.0	2136.0
1614894000000	21405.0	2087.0
1614894600000	18430.0	1882.0
1614895200000	12748.0	510.0
1614895800000	11885.0	653.0
1614896400000	11311.0	313.0
1614897000000	11265.0	391.0
1614897600000	17584.0	4732.0
1614898200000	13419.0	293.0
1614898800000	11970.0	322.0
1614899400000	11978.0	359.0
1614900000000	10767.0	230.0
1614900600000	12643.0	251.0
1614901200000	13820.0	414.0
1614901800000	13100.0	269.0
1614902400000	10904.0	298.0
1614903000000	14249.0	312.0
1614903600000	12056.0	387.0
1614904200000	13920.0	294.0
1614904800000	11854.0	351.0
1614905400000	19933.0	279.0
1614906000000	14166.0	308.0
1614906600000	14750.0	251.0
1614907200000	12318.0	441.0
1614907800000	11937.0	506.0
1614908400000	10651.0	563.0
1614909000000	13617.0	497.0
1614909600000	11081.0	686.0
1614910200000	12609.0	570.0
1614910800000	10280.0	420.0
1614911400000	10395.0	471.0
1614912000000	10885.0	497.0
1614912600000	10889.0	516.0
1614913200000	10694.0	350.0
1614913800000	9839.0	226.0
1614914400000	9068.0	313.0
1614915000000	10375.0	354.0
1614915600000	9797.0	248.0
1614916200000	10207.0	299.0
1614916800000	10770.0	301.0
1614917400000	12520.0	308.0
1614918000000	11010.0	264.0
1614918600000	10127.0	256.0
1614919200000	11241.0	335.0
1614919800000	13324.0	409.0
1614920400000	22402.0	1856.0
1614921000000	21670.0	2045.0
1614921600000	19967.0	1969.0
1614922200000	18072.0	1329.0
1614922800000	11664.0	500.0
1614923400000	12541.0	322.0
1614924000000	12149.0	427.0
1614924600000	22216.0	1770.0
1614925200000	27924.0	2657.0
1614925800000	34221.0	4108.0
1614926400000	33722.0	3867.0
1614927000000	32808.0	2363.0
1614927600000	19397.0	1514.0
1614928200000	14743.0	949.0
1614928800000	12828.0	891.0
1614929400000	12849.0	957.0
1614930000000	12858.0	792.0
1614930600000	13314.0	452.0
1614931200000	13867.0	2205.0
1614931800000	16268.0	2552.0
1614932400000	26887.0	4218.0
1614933000000	40359.0	5839.0
1614933600000	48407.0	6345.0
1614934200000	43375.0	5517.0
1614934800000	44649.0	4973.0
1614935400000	31732.0	3728.0
1614936000000	26940.0	2585.0
1614936600000	16955.0	1172.0
1614937200000	11937.0	449.0
1614937800000	13395.0	461.0
1614938400000	13798.0	416.0
1614939000000	14835.0	392.0
1614939600000	12624.0	519.0
1614940200000	13734.0	458.0
1614940800000	13142.0	386.0
1614941400000	14515.0	304.0
1614942000000	13429.0	364.0
1614942600000	13950.0	407.0
1614943200000	13927.0	354.0
1614943800000	13575.0	314.0
1614944400000	12138.0	251.0
1614945000000	14442.0	367.0
1614945600000	13209.0	310.0
1614946200000	12025.0	282.0
1614946800000	13225.0	274.0
1614947400000	13582.0	447.0
1614948000000	12998.0	279.0
1614948600000	20556.0	281.0
1614949200000	14808.0	243.0
1614949800000	22406.0	1416.0
1614950400000	27159.0	2819.0
1614951000000	25974.0	2323.0
1614951600000	23151.0	1670.0
1614952200000	20373.0	650.0
1614952800000	17079.0	315.0
1614953400000	19261.0	259.0
1614954000000	22868.0	1417.0
1614954600000	32303.0	2893.0
1614955200000	31611.0	2691.0
1614955800000	27697.0	1949.0
1614956400000	26662.0	2032.0
1614957000000	25257.0	1269.0
1614957600000	17118.0	597.0
1614958200000	16469.0	355.0
1614958800000	16363.0	350.0
1614959400000	17362.0	282.0
1614960000000	16190.0	369.0
1614960600000	16124.0	317.0
1614961200000	16159.0	363.0
1614961800000	15673.0	346.0
1614962400000	15141.0	390.0
1614963000000	19454.0	353.0
1614963600000	16360.0	251.0
1614964200000	15345.0	284.0
1614964800000	17259.0	355.0
1614965400000	15057.0	328.0
1614966000000	13807.0	222.0
1614966600000	14466.0	286.0
1614967200000	13521.0	315.0
1614967800000	16651.0	2375.0
1614968400000	15784.0	2796.0
1614969000000	14753.0	475.0
1614969600000	15016.0	1113.0
1614970200000	22972.0	994.0
1614970800000	16751.0	990.0
1614971400000	15254.0	1058.0
1614972000000	15036.0	1067.0
1614972600000	15224.0	1022.0
1614973200000	14599.0	998.0
1614973800000	17925.0	1063.0
1614974400000	15448.0	1111.0
1614975000000	17712.0	978.0
1614975600000	15415.0	1014.0
1614976200000	15296.0	1101.0
1614976800000	14213.0	613.0
1614977400000	15916.0	341.0
1614978000000	27583.0	1891.0
1614978600000	35302.0	4192.0
1614979200000	28020.0	2935.0
1614979800000	27480.0	3590.0
1614980400000	19922.0	1206.0
1614981000000	15889.0	378.0
1614981600000	14107.0	380.0
1614982200000	13370.0	343.0
1614982800000	14159.0	358.0
1614983400000	15266.0	292.0
1614984000000	14596.0	369.0
1614984600000	16673.0	307.0
1614985200000	14551.0	378.0
1614985800000	13845.0	376.0
1614986400000	14469.0	369.0
1614987000000	14573.0	302.0
1614987600000	14077.0	360.0
1614988200000	14049.0	316.0
1614988800000	13529.0	428.0
1614989400000	15045.0	328.0
1614990000000	15042.0	459.0
1614990600000	17680.0	301.0
1614991200000	14482.0	285.0
1614991800000	22394.0	438.0
1614992400000	16752.0	324.0
1614993000000	14922.0	366.0
1614993600000	12513.0	300.0
1614994200000	12994.0	596.0
1614994800000	14933.0	611.0
1614995400000	17960.0	604.0
1614996000000	14475.0	472.0
1614996600000	13735.0	403.0
1614997200000	13957.0	333.0
1614997800000	19223.0	1004.0
1614998400000	15675.0	317.0
1614999000000	14005.0	391.0
1614999600000	17328.0	244.0
1615000200000	13597.0	294.0
1615000800000	13614.0	211.0
1615001400000	13966.0	378.0
1615002000000	15097.0	258.0
1615002600000	15524.0	288.0
1615003200000	14332.0	319.0
1615003800000	13819.0	367.0
1615004400000	14754.0	251.0
1615005000000	14221.0	294.0
1615005600000	14498.0	354.0
1615006200000	14794.0	304.0
1615006800000	14110.0	250.0
1615007400000	14234.0	344.0
1615008000000	14084.0	329.0
1615008600000	18097.0	318.0
1615009200000	14540.0	254.0
1615009800000	14363.0	265.0
1615010400000	19028.0	821.0
1615011000000	18294.0	989.0
1615011600000	14274.0	297.0
1615012200000	15173.0	289.0
1615012800000	13952.0	344.0
1615013400000	23310.0	283.0
1615014000000	16828.0	273.0
1615014600000	15460.0	318.0
1615015200000	14637.0	235.0
1615015800000	14020.0	259.0
1615016400000	14196.0	349.0
1615017000000	15874.0	190.0
1615017600000	15321.0	298.0
1615018200000	14290.0	322.0
1615018800000	15739.0	235.0
1615019400000	14489.0	255.0
1615020000000	14408.0	214.0
1615020600000	14472.0	272.0
1615021200000	13399.0	264.0
1615021800000	14705.0	324.0
1615022400000	15098.0	412.0
1615023000000	13883.0	307.0
1615023600000	13861.0	394.0
1615024200000	14787.0	291.0
1615024800000	16238.0	380.0
1615025400000	15410.0	271.0
1615026000000	14682.0	261.0
1615026600000	15002.0	293.0
1615027200000	15442.0	334.0
1615027800000	27693.0	254.0
1615028400000	32398.0	271.0
1615029000000	29173.0	214.0
1615029600000	13816.0	308.0
1615030200000	19826.0	1086.0
1615030800000	24907.0	2248.0
1615031400000	24156.0	1956.0
1615032000000	23722.0	2026.0
1615032600000	17617.0	1024.0
1615033200000	14619.0	401.0
1615033800000	15488.0	268.0
1615034400000	14347.0	414.0
1615035000000	19729.0	2344.0
1615035600000	22300.0	3620.0
1615036200000	17664.0	3312.0
1615036800000	16698.0	2870.0
1615037400000	15902.0	2084.0
1615038000000	15531.0	1287.0
1615038600000	17913.0	923.0
1615039200000	15316.0	964.0
1615039800000	13742.0	759.0
1615040400000	14842.0	418.0
1615041000000	16742.0	366.0
1615041600000	14447.0	249.0
1615042200000	15498.0	386.0
1615042800000	13321.0	287.0
1615043400000	13801.0	370.0
1615044000000	13050.0	274.0
1615044600000	13675.0	377.0
1615045200000	13528.0	239.0
1615045800000	13882.0	397.0
1615046400000	13857.0	232.0
1615047000000	14325.0	288.0
1615047600000	13502.0	290.0
1615048200000	17408.0	2242.0
1615048800000	16927.0	1115.0
1615049400000	25837.0	1723.0
1615050000000	23763.0	1693.0
1615050600000	30777.0	3032.0
1615051200000	35513.0	3998.0
1615051800000	29139.0	2838.0
1615052400000	23152.0	1847.0
1615053000000	16478.0	663.0
1615053600000	14982.0	327.0
1615054200000	14279.0	266.0
1615054800000	15104.0	338.0
1615055400000	14486.0	353.0
1615056000000	14553.0	355.0
1615056600000	23088.0	499.0
1615057200000	17314.0	758.0
1615057800000	14831.0	774.0
1615058400000	15959.0	715.0
1615059000000	16155.0	934.0
1615059600000	15816.0	878.0
1615060200000	18740.0	922.0
1615060800000	18638.0	836.0
1615061400000	16836.0	920.0
1615062000000	14663.0	827.0
1615062600000	14687.0	805.0
1615063200000	14384.0	756.0
1615063800000	15164.0	804.0
1615064400000	14726.0	831.0
1615065000000	14937.0	994.0
1615065600000	16146.0	780.0
1615066200000	30580.0	804.0
1615066800000	29691.0	826.0
1615067400000	30654.0	648.0
1615068000000	20916.0	579.0
1615068600000	14922.0	519.0
1615069200000	22433.0	1572.0
1615069800000	29019.0	2719.0
1615070400000	21100.0	1653.0
1615071000000	15973.0	842.0
1615071600000	15243.0	867.0
1615072200000	14731.0	946.0
1615072800000	14988.0	814.0
1615073400000	22570.0	2150.0
1615074000000	25774.0	3040.0
1615074600000	26119.0	2727.0
1615075200000	22183.0	2468.0
1615075800000	16048.0	1309.0
1615076400000	14792.0	948.0
1615077000000	14514.0	914.0
1615077600000	15302.0	742.0
1615078200000	22314.0	880.0
1615078800000	15496.0	825.0
1615079400000	13927.0	603.0
1615080000000	12720.0	525.0
1615080600000	14524.0	667.0
1615081200000	15129.0	595.0
1615081800000	17354.0	623.0
1615082400000	14813.0	716.0
1615083000000	15263.0	734.0
1615083600000	15218.0	622.0
1615084200000	14202.0	704.0
1615084800000	13875.0	752.0
1615085400000	14955.0	789.0
1615086000000	14564.0	821.0
1615086600000	14432.0	699.0
1615087200000	13988.0	778.0
1615087800000	14733.0	743.0
1615088400000	14682.0	723.0
1615089000000	15032.0	690.0
1615089600000	14748.0	699.0
1615090200000	14139.0	591.0
1615090800000	14405.0	505.0
1615091400000	15317.0	615.0
1615092000000	15265.0	690.0
1615092600000	16878.0	704.0
1615093200000	14997.0	635.0
1615093800000	14682.0	648.0
1615094400000	14262.0	649.0
1615095000000	13663.0	599.0
1615095600000	13835.0	636.0
1615096200000	14776.0	591.0
1615096800000	14101.0	731.0
1615097400000	14386.0	578.0
1615098000000	14192.0	595.0
1615098600000	15232.0	895.0
1615099200000	16479.0	1170.0
1615099800000	25259.0	1150.0
1615100400000	18851.0	1129.0
1615101000000	15245.0	1045.0
1615101600000	13820.0	667.0
1615102200000	14533.0	760.0
1615102800000	14057.0	598.0
1615103400000	17375.0	734.0
1615104000000	13870.0	780.0
1615104600000	10914.0	721.0
1615105200000	8968.0	631.0
1615105800000	9376.0	775.0
1615106400000	8992.0	784.0
1615107000000	10114.0	810.0
1615107600000	9194.0	847.0
1615108200000	9272.0	951.0
1615108800000	9181.0	854.0
1615109400000	19342.0	2244.0
1615110000000	33559.0	4738.0
1615110600000	31539.0	4587.0
1615111200000	24141.0	3745.0
1615111800000	20707.0	2559.0
1615112400000	13179.0	1337.0
1615113000000	9918.0	958.0
1615113600000	11045.0	807.0
1615114200000	10369.0	856.0
1615114800000	9440.0	936.0
1615115400000	9297.0	835.0
1615116000000	9903.0	873.0
1615116600000	8611.0	868.0
1615117200000	8741.0	857.0
1615117800000	9912.0	821.0
1615118400000	8707.0	782.0
1615119000000	9597.0	787.0
1615119600000	8856.0	762.0
1615120200000	11513.0	1743.0
1615120800000	14037.0	2347.0
1615121400000	21431.0	2439.0
1615122000000	29440.0	4620.0
1615122600000	37081.0	6139.0
1615123200000	26400.0	4411.0
1615123800000	20082.0	3156.0
1615124400000	14441.0	2341.0
1615125000000	18559.0	5038.0
1615125600000	14203.0	2737.0
1615126200000	9833.0	868.0
1615126800000	9749.0	1099.0
1615127400000	8988.0	1038.0
1615128000000	9134.0	1071.0
1615128600000	10016.0	1054.0
1615129200000	8724.0	992.0
1615129800000	9241.0	1009.0
1615130400000	9378.0	967.0
1615131000000	9411.0	951.0
1615131600000	9188.0	913.0
1615132200000	9330.0	1029.0
1615132800000	9678.0	863.0
1615133400000	9033.0	903.0
1615134000000	9299.0	867.0
1615134600000	9827.0	888.0
1615135200000	10486.0	881.0
1615135800000	10611.0	959.0
1615136400000	9676.0	898.0
1615137000000	11283.0	905.0
1615137600000	9974.0	844.0
1615138200000	17965.0	1886.0
1615138800000	21129.0	2471.0
1615139400000	22034.0	2822.0
1615140000000	23377.0	3419.0
1615140600000	18304.0	2107.0
1615141200000	10168.0	1138.0
1615141800000	9240.0	901.0
1615142400000	9558.0	793.0
1615143000000	16889.0	684.0
1615143600000	10997.0	799.0
1615144200000	9727.0	848.0
1615144800000	11620.0	702.0
1615145400000	11090.0	710.0
1615146000000	9291.0	683.0
1615146600000	12537.0	717.0
1615147200000	10688.0	683.0
1615147800000	9993.0	801.0
1615148400000	9876.0	646.0
1615149000000	9536.0	654.0
1615149600000	9647.0	788.0
1615150200000	9164.0	822.0
1615150800000	8753.0	751.0
1615151400000	10010.0	823.0
1615152000000	9610.0	799.0
1615152600000	9095.0	834.0
1615153200000	9255.0	900.0
1615153800000	10192.0	877.0
1615154400000	10360.0	942.0
1615155000000	11301.0	827.0
1615155600000	8418.0	869.0
1615156200000	8904.0	818.0
1615156800000	9567.0	801.0
1615157400000	10834.0	726.0
1615158000000	9771.0	862.0
1615158600000	9532.0	804.0
1615159200000	10051.0	635.0
1615159800000	8336.0	720.0
1615160400000	11355.0	822.0
1615161000000	11751.0	864.0
1615161600000	10068.0	829.0
1615162200000	8976.0	860.0
1615162800000	10034.0	797.0
1615163400000	9962.0	835.0
1615164000000	16944.0	1799.0
1615164600000	21381.0	1433.0
1615165200000	11860.0	928.0
1615165800000	10382.0	789.0
1615166400000	11499.0	781.0
1615167000000	9262.0	978.0
1615167600000	9318.0	940.0
1615168200000	13183.0	840.0
1615168800000	10293.0	881.0
1615169400000	10163.0	886.0
1615170000000	9259.0	840.0
1615170600000	10009.0	1110.0
1615171200000	9960.0	1032.0
1615171800000	10184.0	983.0
1615172400000	11475.0	1236.0
1615173000000	15493.0	1652.0
1615173600000	10663.0	1701.0
1615174200000	11590.0	1498.0
1615174800000	11225.0	1538.0
1615175400000	11291.0	1565.0
1615176000000	9902.0	1116.0
1615176600000	9028.0	771.0
1615177200000	11577.0	807.0
1615177800000	9104.0	742.0
1615178400000	9085.0	728.0
1615179000000	10187.0	733.0
1615179600000	9795.0	756.0
1615180200000	9733.0	788.0
1615180800000	9591.0	848.0
1615181400000	18246.0	2082.0
1615182000000	20644.0	2728.0
1615182600000	21681.0	2786.0
1615183200000	17122.0	2295.0
1615183800000	21933.0	2621.0
1615184400000	20504.0	2716.0
1615185000000	13585.0	1493.0
1615185600000	16506.0	2155.0
1615186200000	24897.0	2320.0
1615186800000	18299.0	2156.0
1615187400000	18395.0	1977.0
1615188000000	23154.0	3258.0
1615188600000	24165.0	3045.0
1615189200000	27621.0	3630.0
1615189800000	29616.0	4149.0
1615190400000	23921.0	3284.0
1615191000000	21470.0	2781.0
1615191600000	14488.0	1565.0
1615192200000	12518.0	1424.0
1615192800000	11961.0	1274.0
1615193400000	13078.0	1023.0
1615194000000	10162.0	1022.0
1615194600000	12676.0	1250.0
1615195200000	10888.0	1072.0
1615195800000	11049.0	864.0
1615196400000	10625.0	792.0
1615197000000	11917.0	782.0
1615197600000	10165.0	694.0
1615198200000	10058.0	714.0
1615198800000	10193.0	753.0
1615199400000	10695.0	646.0
1615200000000	11938.0	793.0
1615200600000	12349.0	663.0
1615201200000	11595.0	689.0
1615201800000	19445.0	6045.0
1615202400000	14619.0	2369.0
1615203000000	10256.0	850.0
1615203600000	11075.0	817.0
1615204200000	12744.0	806.0
1615204800000	10946.0	817.0
1615205400000	17252.0	1883.0
1615206000000	23895.0	3010.0
1615206600000	22192.0	2867.0
1615207200000	18074.0	2394.0
1615207800000	22378.0	1324.0
1615208400000	13425.0	882.0
1615209000000	11751.0	932.0
1615209600000	10518.0	874.0
1615210200000	11154.0	989.0
1615210800000	10766.0	774.0
1615211400000	13393.0	864.0
1615212000000	11180.0	822.0
1615212600000	10096.0	815.0
1615213200000	10635.0	1058.0
1615213800000	10732.0	772.0
1615214400000	9646.0	769.0
1615215000000	10787.0	797.0
1615215600000	18477.0	1936.0
1615216200000	21414.0	2483.0
1615216800000	20130.0	2556.0
1615217400000	15068.0	1269.0
1615218000000	11627.0	827.0
1615218600000	11150.0	830.0
1615219200000	10274.0	817.0
1615219800000	22779.0	2602.0
1615220400000	22906.0	3006.0
1615221000000	22152.0	2793.0
1615221600000	13406.0	1761.0
1615222200000	18605.0	1852.0
1615222800000	29337.0	4305.0
1615223400000	30239.0	4414.0
1615224000000	29072.0	4145.0
1615224600000	27305.0	4308.0
1615225200000	22421.0	3039.0
1615225800000	23524.0	2805.0
1615226400000	24212.0	2578.0
1615227000000	15808.0	1378.0
1615227600000	10827.0	937.0
1615228200000	9884.0	943.0
1615228800000	10304.0	762.0
1615229400000	17372.0	739.0
1615230000000	12508.0	718.0
1615230600000	10408.0	857.0
1615231200000	9749.0	723.0
1615231800000	14129.0	1892.0
1615232400000	14141.0	2116.0
1615233000000	16775.0	2181.0
1615233600000	15702.0	2185.0
1615234200000	18028.0	2199.0
1615234800000	19840.0	2316.0
1615235400000	19298.0	2310.0
1615236000000	18138.0	2250.0
1615236600000	14355.0	1942.0
1615237200000	11689.0	885.0
1615237800000	9319.0	784.0
1615238400000	8749.0	772.0
1615239000000	8988.0	718.0
1615239600000	8571.0	765.0
1615240200000	9825.0	741.0
1615240800000	9221.0	1431.0
1615241400000	12084.0	1490.0
1615242000000	9267.0	1620.0
1615242600000	9245.0	1458.0
